oyun_adi,puan,fiyat,yas_siniri,guncellenme_tarihi,indirilme_sayisi,tur_adi,URL
Brawl Stars,"4,2",0,7,20 Mayıs 2026,,"Aksiyon, Nişancı, Taktiğe dayalı nişancı",https://play.google.com/store/apps/details?id=com.supercell.brawlstars
PUBG MOBILE,"4,5",0,12,14 Mayıs 2026,,"Aksiyon, Nişancı, Taktiğe dayalı nişancı",https://play.google.com/store/apps/details?id=com.tencent.ig
eFootball™,"4,3",0,3,19 Mayıs 2026,,"Spor, Futbol",https://play.google.com/store/apps/details?id=jp.konami.pesam
EA SPORTS FC™ Mobile Futbol 26,"4,5",0,3,18 Mayıs 2026,,"Spor, Futbol",https://play.google.com/store/apps/details?id=com.ea.gp.fifamobile
Candy Crush Saga,"4,5",0,3,14 Mayıs 2026,,"Bulmaca, Üçlü Eşleme, Basit",https://play.google.com/store/apps/details?id=com.king.candycrushsaga
Toca Boca World,"4,3",0,3,3 Nisan 2026,,"Simülasyon, Yaşam",https://play.google.com/store/apps/details?id=com.tocaboca.tocalifeworld
101 Yüzbir Okey Plus,"4,4",0,12,7 Mayıs 2026,,"Masa, Soyut strateji, Basit",https://play.google.com/store/apps/details?id=net.peakgames.Yuzbir
Mobile Legends: Bang Bang,"4,0",0,12,21 Mayıs 2026,,"Strateji, MOBA",https://play.google.com/store/apps/details?id=com.mobile.legends
Free Fire: Su Altı Gizemi,"4,6",0,12,8 Nisan 2026,,"Aksiyon, Nişancı, Taktiğe dayalı nişancı",https://play.google.com/store/apps/details?id=com.dts.freefireth
Dream League Soccer 2026,"4,0",0,3,Dream League Soccer 2026,,"Spor, Futbol, Basit",https://play.google.com/store/apps/details?id=com.firsttouchgames.dls7
Kafa Topu 2 - Online Futbol,"4,5",0,3,5 Mayıs 2026,,"Spor, Futbol, Arcade",https://play.google.com/store/apps/details?id=com.masomo.headball2
8 Ball Pool,"4,7",0,3,3 Nisan 2026,,"Spor, Bilardo, Basit",https://play.google.com/store/apps/details?id=com.miniclip.eightballpool
Standoff 2,"4,7",0,12,1 Mayıs 2026,,"Aksiyon, Nişancı, Taktiğe dayalı nişancı",https://play.google.com/store/apps/details?id=com.axlebolt.standoff2
Clash of Clans,"4,5",0,7,17 Mayıs 2026,,"Strateji, Şehir kurma ve savaş, Basit",https://play.google.com/store/apps/details?id=com.supercell.clashofclans
Royal Match,"4,5",0,3,8 Mayıs 2026,,"Bulmaca, Üçlü Eşleme, Üçlü eşleştirme macerası, Basit",https://play.google.com/store/apps/details?id=com.dreamgames.royalmatch
Township,"4,8",0,3,16 Mayıs 2026,,"Simülasyon, Yönetim, Çiftçilik, Basit",https://play.google.com/store/apps/details?id=com.playrix.township
Gardenscapes,"4,7",0,3,19 Mayıs 2026,,"Bulmaca, Üçlü Eşleme, Üçlü eşleştirme macerası, Basit",https://play.google.com/store/apps/details?id=com.playrix.gardenscapes
OSM 25/26 - Futbol oyunu,"4,7",0,3,29 Nisan 2026,,"Spor, Koçluk, Basit",https://play.google.com/store/apps/details?id=com.gamebasics.osm
Free Fire MAX,"4,6",0,12,8 Nisan 2026,,"Aksiyon, Nişancı, Taktiğe dayalı nişancı",https://play.google.com/store/apps/details?id=com.dts.freefiremax
Travel Town - Macera Birleşimi,"4,1",0,3,11 Mayıs 2026,,"Bulmaca, Birleştirme",https://play.google.com/store/apps/details?id=io.randomco.travel
Lords Mobile: Krallık Savaşı,"4,3",0,7,16 Mayıs 2026,,"Strateji, 4X",https://play.google.com/store/apps/details?id=com.igg.android.lordsmobile
Call of Duty®: Mobile,"4,1",0,16,3 Mayıs 2026,,"Aksiyon, Nişancı, Taktiğe dayalı nişancı",https://play.google.com/store/apps/details?id=com.activision.callofduty.shooter
MentalUP Eğitici Zeka Oyunları,"4,4",0,3,16 Nisan 2026,,"Bulmaca, Zeka oyunu, Zeka eğitimi, Basit",https://play.google.com/store/apps/details?id=com.ayasis.mentalup
Top Eleven: Futbol Menajeri,"4,5",0,3,15 Mayıs 2026,,"Spor, Koçluk, Basit",https://play.google.com/store/apps/details?id=eu.nordeus.topeleven.android
"Jawaker Hand, Tarneeb & Trix","4,7",0,16,19 Nisan 2026,,"Masa, Soyut strateji, Satranç",https://play.google.com/store/apps/details?id=com.boundless.jawaker
League of Legends: Wild Rift,"3,2",0,12,8 Mayıs 2026,,"Strateji, MOBA",https://play.google.com/store/apps/details?id=com.riotgames.league.wildrift
Total Battle: Strateji Oyunu,"4,3",0,7,3 Mayıs 2026,,"Strateji, 4X",https://play.google.com/store/apps/details?id=com.totalbattle
Minecraft,"4,4","300,00",7,6 Mayıs 2026,,"Simülasyon, Sandbox, Basit",https://play.google.com/store/apps/details?id=com.mojang.minecraftpe
Rise of Kingdoms: Lost Crusade,"4,5",0,18,19 Mayıs 2026,,"Strateji, 4X",https://play.google.com/store/apps/details?id=com.lilithgame.roc.gp
War Robots PvP Multiplayer,"4,3",0,12,16 Mayıs 2026,,"Aksiyon, Nişancı, Araçlı savaş",https://play.google.com/store/apps/details?id=com.pixonic.wwr
Pokémon GO,"3,4",0,7,21 Mayıs 2026,,"Aksiyon, Aksiyon-macera, Basit",https://play.google.com/store/apps/details?id=com.nianticlabs.pokemongo
Top War: Battle Game,"4,1",0,3,10 Nisan 2026,,"Strateji, 4X",https://play.google.com/store/apps/details?id=com.topwar.gp
Genshin Impact,"2,6",0,12,20 Mayıs 2026,,"Rol Yapma, Aksiyon Rol Yapma",https://play.google.com/store/apps/details?id=com.miHoYo.GenshinImpact
Grand Theft Auto: San Andreas,"4,3","29,99",18,4 Şubat 2026,,"Aksiyon, Aksiyon-macera",https://play.google.com/store/apps/details?id=com.rockstargames.gtasa
Match Masters,"4,5",0,3,6 Mayıs 2026,,"Bulmaca, Üçlü Eşleme, Basit",https://play.google.com/store/apps/details?id=com.funtomic.matchmasters
Puzzles & Survival,"4,5",0,12,22 Mart 2026,,"Strateji, 4X",https://play.google.com/store/apps/details?id=com.global.ztmslg
Warpath: Ace Shooter,"4,1",0,16,18 Mayıs 2026,,"Strateji, 4X",https://play.google.com/store/apps/details?id=com.wondergames.warpath.gp
RFS - Real Flight Simulator,"4,2","2,99",3,2 Mayıs 2026,,"Simülasyon, Araç, Uçuş, Basit",https://play.google.com/store/apps/details?id=it.rortos.realflightsimulator
Family Island — Çiftlik oyunu,"4,1",0,3,8 Mayıs 2026,,"Simülasyon, Yönetim",https://play.google.com/store/apps/details?id=com.MelsoftGames.FamilyIslandFarm
Mafia City,"4,1",0,16,1 Mayıs 2026,,"Strateji, 4X",https://play.google.com/store/apps/details?id=com.yottagames.mafiawar
Game of Sultans,"3,7",0,7,18 Mayıs 2026,,"Simülasyon, Yaşam, İmparatorluk kurma, Basit",https://play.google.com/store/apps/details?id=com.dc.hwsj
The Walking Dead: Survivors,"4,5",0,16,21 Mayıs 2026,,"Strateji, 4X",https://play.google.com/store/apps/details?id=com.elex.twdsaw.gp
The Grand Mafia,"4,4",0,16,11 Mart 2026,,"Strateji, 4X",https://play.google.com/store/apps/details?id=com.yottagames.gameofmafia
Play Together: Friends & Party,"4,2",0,7,14 Mayıs 2026,,"Simülasyon, Yaşam",https://play.google.com/store/apps/details?id=com.haegin.playtogether
Stardew Valley,"4,6","45,99",12,19 Mayıs 2026,,"Simülasyon, Yönetim, Çiftçilik",https://play.google.com/store/apps/details?id=com.chucklefish.stardewvalley
War and Order,"4,0",0,12,22 Nisan 2026,,"Strateji, 4X",https://play.google.com/store/apps/details?id=com.camelgames.superking
Buz ve Alev: King of Avalon,"4,1",0,7,13 Mayıs 2026,,"Strateji, 4X",https://play.google.com/store/apps/details?id=com.funplus.kingofavalon
RAID: Shadow Legends,"4,4",0,12,14 Mart 2026,,"Rol Yapma, Sıraya dayalı RYO",https://play.google.com/store/apps/details?id=com.plarium.raidlegends
Empires & Puzzles: Match-3 RPG,"4,0",0,7,11 Mayıs 2026,,"Rol Yapma, Bulmacalı rol yapma, Üçlü eşleştirme RYO",https://play.google.com/store/apps/details?id=com.smallgiantgames.empires
Five Nights at Freddy's,"4,8","18,99",12,17 Mayıs 2026,,"Aksiyon, Aksiyon-macera, Hayatta kalma ve korku",https://play.google.com/store/apps/details?id=com.scottgames.fivenightsatfreddys
